Megrendelésszám;Profit összesen;Levont kötbér;Munka megkezdése;Készre jelentés ideje;Megrendelés eredeti határideje;
MEGR001;1500000;-40000;07.20. 6:00;07.20. 6:00;07.21. 13:00;
MEGR002;4200000;-150000;07.20. 6:00;07.20. 6:00;07.22. 8:00;
MEGR003;600000;-120000;07.20. 6:00;07.20. 6:00;07.23. 14:00;
MEGR004;1200000;-1100000;07.20. 6:00;07.20. 6:00;07.30. 8:00;
MEGR005;6000000;-60000;07.20. 6:00;07.20. 6:00;07.25. 16:00;
MEGR006;1080000;-225000;07.20. 6:00;07.20. 6:00;07.28. 12:00;
MEGR007;8711000;-385000;07.20. 6:00;07.20. 6:00;07.30. 14:00;
MEGR008;1302000;-510000;07.20. 6:00;07.20. 6:00;08.05. 10:00;
MEGR009;200000;-2160000;07.20. 6:00;07.20. 6:00;08.15. 18:00;
MEGR010;191700;-700000;07.20. 6:00;07.20. 6:00;07.26. 12:00;
MEGR011;12000000;-330000;07.20. 6:00;07.20. 6:00;07.30. 8:00;
MEGR012;6277500;-1215000;07.20. 6:00;07.20. 6:00;08.15. 10:10;
MEGR013;2575000;-494000;07.20. 6:00;07.20. 6:00;08.01. 12:00;
MEGR014;6400000;-360000;07.20. 6:00;07.20. 6:00;07.31. 16:00;
MEGR015;3000000;-3400000;07.20. 6:00;07.20. 6:00;08.05. 12:45;
